Sucursal,Region,SaldoInsolutoActual,SaldoInsolutoVencidoActual,"SaldoInsoluto
3089Actual","Saldo
60en6Actual",CastigosActual,CapitalLiquidadoActual,CapitalDispersadoActual,%FPDActual,QuitasActual
AcerosdelNorte,Norte,32270687.14,2938266.197,1934768.183,129522.1988,206103.31,0,2113399.54,0.063462,14908.66
AcerosdelNorteBIS,Norte,527765.7608,0,0,0,0,0,180000,0.166667,0
AguasCentral,Occidente,45150803.99,2087896.558,1787586.562,77593.7496,148223.19,182559.97,2493004.93,0.061898,1144.14
AguasNorte,Occidente,25707188.91,1664187.605,1300829.441,0,352685.96,51518.37,1230470.72,0,29285.46
AltodeChilpan,Centro2,25231781.76,1012992.197,1050912.686,18436.7584,381214.52,47320.06,1771724.51,0,3263.97
AltosdeQuerétaro,Centro2,43229912.66,2217360.009,2390326.005,154420.2828,185445.6,311468.62,2359108.19,0.033951,19987.01
AlturasdePuebla,Centro1,46721263.15,3489211.762,2536064.505,324610.0764,776931.46,35163.65,2176253.18,0.012381,6734.73
AlturasdePueblaBIS,Centro1,4384486.343,534958.548,117168.9656,0,0,122090.38,112963.29,0.166667,28.66
BahíaAzul,Perla,41016035.02,1220432.047,1604940.481,72989.6564,85580.73,104895.91,2751430.37,0.004808,11426.02
BahíaCampeche,Sur,48359631.26,3707341.275,1859507.996,155527.5864,488532.16,27665.55,2607994.16,0.030518,8279.82
BahíaChetumal,Sur,20886081.09,1623900.808,887697.7744,33749.8724,48889.2,13183.13,841314.55,0,936.2
BahíaCruz,Sur,48574454.03,2389824.765,1683463.044,44050.1176,77028.47,103196.05,3244273.92,0,37200.97
BahíaDorada,Centro2,77943669.79,5670972.909,3297219.643,395575.3532,693210.76,47783.68,3672134.92,0.034099,11242.91
BahíaDorada,Perla,77943669.79,5670972.909,3297219.643,395575.3532,693210.76,47783.68,3672134.92,0.034099,11242.91
BahíaDoradaBIS,Centro2,1582782.578,0,0,0,0,0,152848.91,0.5,0
BahíaLázaro,Occidente,26693773.01,1384543.585,1564719.998,63441.184,325952.17,9253.19,1484449.9,0.201235,32178.45
BahíaManzanillo,Occidente,20822600.26,1512192.667,367136.9944,0,79791.47,150193.72,968401.15,0.11339,3941.18
BosqueVerde,Norte,12252333.65,865602.6736,832141.7236,44312.5672,410626.48,0,762006.23,0.1,1302.68
BosquesTlaxcala,Centro1,23151215.28,1569102.704,1386405.414,18460.8008,202942.46,0,1377075.96,0.097656,1637.61
BosquesTultitlán,Centro2,10299957.16,562137.994,640193.1692,171780.4116,187188.09,13197.04,399382.44,0.05,399.29
CaboFuerte,Perla,19362968.34,1126651.48,1037356.324,122665.7792,324733.32,0,792699.37,0.02381,4808.36
CamelinasPlaza,Occidente,5121917.932,308196.5856,317327.8724,117304.4812,84565.55,7390.75,97154.52,0,838.19
CampoFloridoA,Centro1,33811011.21,2585994.11,2008632.288,346709.0912,344425.96,0,1454952.62,0.066798,44452.05
CampoFloridoB,Centro1,10113034.12,879584.1288,633719.7516,27779.83,66655.46,72595.04,761292.67,0,1852.95
CampoZaragoza,Centro1,30227475.96,4255332.846,2807144.038,399201.4364,740317.44,0,1801619.48,0.090158,93744.58
CamposSaltillo,Norte,35473112.46,1148124.111,870103.346,93816.0748,294435.12,0,1846078.92,0.053737,42575.61
CampusSierra,Occidente,8086491.059,704333.272,511916.95,47417.8272,333603.84,23133.57,758023.06,0.071429,0
CañadasLeón,Occidente,34747004.64,1382106.32,2056141.059,193456.9616,127962.45,127870.13,1709693.41,0.035,17800.57
CañadasLeónBIS,Occidente,3292948.965,24677.3764,143659.3332,0,57822.94,0,345931.05,0,0
CentroRegio,Norte,24552080.8,1327102.066,982805.4316,71493.6496,161654.73,13439.92,1375523.3,0.097222,2451.14
CielosdeMetepec,Centro2,29890350.28,1498616.737,1058947.038,61494.1416,421171.28,23703.6,1630169.45,0.064286,4337.8
CiudadPirámide,Centro2,15985175.84,1180218.779,1147012.696,129596.6392,303925.51,4916.24,883807.86,0.027778,54416.61
ColinadelSol,Centro2,31060055.08,2411044.591,1636440.052,178460.8748,175386.25,12543.29,1834228.98,0.05754,12003.59
ColinadelSolBIS,Centro2,4203411.041,98794.9044,127112.3964,46498.8976,12001.32,0,279268.6,0.035714,69
ColinaPlateada,Centro2,25391363.29,2100740.042,1377699.182,52974.2716,87137.25,0,1247002.19,0.027083,14463.99
ColinasJilotepec,Occidente,17779142.26,899210.5404,450976.004,55853.7776,44403.6,28320.84,2025222.11,0.09009,7024.28
ColinasMirón,Centro1,37050413.69,3106471.067,2018684.91,149494.8172,310516.12,19126.39,1961080.28,0.05042,5527.55
ColinasMorelia,Occidente,17543534.1,1381518.462,1208667.239,85803.0112,51368.06,0,427736.83,0,9226.74
ColinasTampico,Norte,51419103.28,3583518.811,2906586.947,146267.406,350619.82,98250.94,2476339.49,0.035197,22354.23
ColinasTampicoBIS,Norte,7129778.046,906429.9136,559231.9524,0,144621.41,35190.82,303832.94,0,555.05
CostaMarquesa,Centro2,6476732.723,369604.5352,544931.4364,0,21809.42,0,345649.32,0,404.11
CuautlaVista,Centro2,26617222.25,1686810.164,987957.4456,0,163416.25,30150.94,885790.17,0.03125,26695.32
CuliacánNorte,Perla,25796521.67,2345664.173,1946638.918,45371.656,332841.87,72221.35,1373805.04,0.075132,20630.78
CumbreNeza,Centro2,44747850.77,3618367.898,3619988.243,309166.2224,675059.35,14764.44,2662400.11,0.065501,14061.64
CumbreToluca,Centro2,3393812.15,316270.9704,270582.6048,42037.7364,0,41191.16,136960.02,0,0
CumbresRegias,Norte,15110189.3,1211920.463,750567.8612,174007.8028,56216.5,0,529531.76,0.025,101.54
CumbresXalapa,Centro1,38735694.24,3567533.841,2661108.376,277046.5296,525148.65,89045.14,1620726.84,0.047048,7496.79
CumbresZacatecas,Occidente,38107264.36,2831884.8,1554049.252,80315.84,454102.85,259884.76,2637932.39,0.083874,114229.82
DesiertoBravo,Norte,14108025.46,4972376.693,2563549.876,869098.6076,334089.57,0,665080.78,0.284524,205.51
DesiertoNorte,Norte,32867063.7,2301209.48,961480.0652,78711.3948,240821.64,0,1297011.04,0.042125,7912.94
DesiertoNorteBIS,Norte,3241216.726,419211.42,228449.4896,35097.5332,216974.74,0,265909.07,0,544.46
DurangoNorte,Perla,21517138.46,2565018.249,1603418.388,405357.4368,272780.8,78449.35,1977629.41,0.025932,13713.27
FronteraBravo,Perla,28247143.75,1764072.202,1272291.149,55439.0576,323870.62,12400.91,1764222.32,0.054167,16858.76
FronteraNogales,Perla,34678622.75,2504635.504,1669796.8,53647.4116,202448.2,31644.87,1404526.89,0.081238,10322.98
FronteraOeste,Perla,27891362.59,1612402.136,1658342.986,88976.5284,76473.34,166704.78,733449.05,0,1495.45
GDLCentral,Occidente,25556191.14,2084764.906,1722295.619,107924.4864,344568.91,41331.85,1257787.66,0.015873,18358.4
GuzmánValle,Occidente,4895147.542,169693.6916,171382.5172,0,59668.42,0,345625.25,0,3698.46
HermosilloNorte,Perla,12126555.52,414118.4776,643293.6308,102181.2808,10599.3,119229.56,1317214.62,0.005495,3651.89
HidalgoValle,Occidente,7084489.246,298951.474,223450.6432,0,14110.48,9089.75,485639.51,0.02,927.63
IMSSGDL,Occidente,24110249.22,933852.5516,1152234.858,37326.1268,67434.4,0,1501173.59,0,24431.88
IsladelCarmen,Sur,19990877.36,1683143.205,1425607.677,186964.8632,254628.32,0,1368258.83,0.015224,10998.74
JardínAragónA,Centro1,27722739.99,2536486.248,1501203.844,82236.5616,299812.29,0,1863295.95,0.045202,32400.23
JardinesdelNorte,Occidente,20090280.51,2059283.99,843582.0984,70537.3108,462855.76,83530.25,1209567.22,0.050099,2831.84
JardinesdelValle,Centro2,37146230.31,2834805.971,2030448.043,68860.882,396674.16,69561.96,2020396.12,0,6999.31
JardinesIrapuato,Occidente,31342734.19,1194593.284,745076.768,0,224931.42,50959.16,1663061.92,0.029762,25612.63
JardinesIrapuatoBIS,Occidente,5434852.804,204532.5768,77334.57,0,9784.1,0,248710.24,0.055556,153.94
JardinesManuel,Centro1,30018094.9,1543895.785,1320500.818,83142.4376,132616.73,40950.82,2034617.55,0.013968,4732.38
JardinesTlaque,Occidente,31482954.37,2079417.853,1916427.28,104868.4988,418561.96,66372.24,1551382.08,0.046494,161398.05
JardinesUruapan,Occidente,14396954.37,984609.576,507023.2232,20313.9,423800.4,0,432812.21,0.089286,11380.96
JuárezNorte,Occidente,47648771.87,3728231.869,1964527.416,141751.6336,462973.88,37805.17,2745472.98,0.061809,14177.92
JuárezNorteBIS,Occidente,NA,NA,NA,NA,NA,NA,NA,NA,NA
LagunasdeXochimilco,Centro1,15446745.71,2198248.731,1077048.723,96159.2204,290332.56,81378.58,762244.12,0.138889,5671.88
LasÁguilas,Occidente,29928342.33,2500019.902,2235497.02,99584.784,446885.05,142801.84,1448596.64,0.030983,38531.76
LlanosdeIgualdad,Centro2,22211494.99,1406966.22,910356.5276,39830.0828,361603.06,0,967381.15,0.056818,5568.71
LlanosTehuacán,Centro1,18356597.54,1409754.208,741250.8244,137542.9124,70824.06,99742.83,1021397.97,0,3577.33
LomasdeÁlamos,Norte,47108131.74,2063282.029,1708029.489,90878.9712,231808.24,49968.27,2541456.32,0.052213,5653.18
LomasdeÁlamosBIS,Norte,1697615.185,274525.8992,147855.2368,0,0,0,20000,0,127.76
LomasdeNaucalpan,Centro2,17175069.04,962568.1604,1918485.1,29481.89,116025.44,24929.63,734360.89,0.057143,17527.66
LomasSantiago,Centro1,18076732.93,1041847.373,1132239.772,323847.1428,230153.9,105259.12,1157911.18,0.013889,1294.01
LomasXalapa,Centro1,25255358.44,3857901.688,1961384.087,100037.8936,591119.91,0,1511500.37,0.015942,7406.03
LomasZaragoza,Centro1,12291049.23,1010118.601,1004251.464,132640.2592,239829.01,0,825907.5,0.083333,1612.89
LosArcos,Centro1,32175632.27,3275668.348,3150496.534,191528.112,155501.51,109015.81,1816029.27,0.043229,11949.84
MéridaNorte,Sur,28992199.5,1702784.738,1469541.236,167722.5568,365433.74,24264.38,1469427.87,0.025505,1331.1
MiradorTlalpanA,Centro1,31318209.75,2059147.014,1125895.532,37680.2516,383747.06,114467.75,1768181.68,0,5211.78
MiradorTlalpanABIS,Centro1,4164050.192,495039.4416,136279.4504,75830.8988,0,0,279545.13,0.066667,924.94
MiradorTlalpanB,Centro1,25109228.76,1957479.618,1214768.74,62208.8748,365061.88,61031.59,1299166.65,0.030952,7760.91
MontañaAzul,Centro2,7612179.989,444189.7452,704984.582,81004.4072,58290.66,0,401826.87,0.041667,126.67
MontesTonalá,Occidente,23707429.3,1290003.313,891031.4936,24146.4868,213674.93,0,1161771.41,0.052083,7151.91
MontesZitácuaro,Occidente,14070134.23,832567.2844,273059.2008,0,92677.36,0,794061.3,0,6880.9
MoreliaNorte,Occidente,42466119.99,2379431.385,1851581.796,75287.5052,199844.87,115936.37,2059886.61,0.024318,90858.42
NorteGDL,Occidente,32096653.76,1465444.396,2089372.83,78745.744,254452.76,41607,1680809.52,0.027778,192561.59
NorteLeón,Occidente,20914380.66,1762152.975,1645399.121,175633.9512,390987.69,93468.78,952651.46,0.112968,13614.58
NorteMexicali,Perla,19172262.37,781222.8076,1311701.93,17707.5696,92220.72,99394.88,2185793.37,0.06584,50882.15
NorteTepic,Occidente,27433675.56,845617.3024,1114666.554,55817.4096,177722.21,0,1380240.18,0,49132.82
OblatosPlaza,Occidente,13255484.1,2035122.773,603823.822,225406.0936,156067.35,0,535305.99,0.1,4225.62
ObregónCentral,Perla,50833112.31,3016148.718,3146009.058,337824.2316,181011.11,34056.12,3597983.5,0.041404,54510.43
ObregónNorte,Perla,20991857.74,2178270.537,1283074.036,279367.2016,427131.34,21900.41,1431415.65,0.038375,15273.21
PalaciodelNorte,Norte,35012137.25,2000517.274,1892149.021,92849.534,310593.39,5302.78,2234026.12,0.052976,83730.25
ParqueJojutla,Centro2,31440345.7,1367831.785,1789517.239,0,294754.74,49343.43,2329897.41,0.007937,2962.84
ParqueJurica,Centro2,6214615.822,108242.5356,174381.8936,0,6963.19,116280.8,586268.74,0,302.97
ParqueMadero,Norte,39531064.99,2474342.813,1935560.964,75137.7404,354518.37,25673.83,2264991.77,0.084779,4385.96
ParqueMaderoBIS,Norte,5490023.714,186571.5476,206351.4536,0,46687.73,0,403831.17,0.083333,0
ParqueObregón,Centro1,19228561.42,1561699.593,826576.39,82204.3096,389343.65,6742.75,1239083.09,0.0375,37071.61
ParralViejo,Occidente,14528207.59,1435748.868,895342.8272,131335.9128,182524.84,0,905749.39,0.015873,2967.73
PasoNuevo,Norte,30090360.66,1611638.612,1172299.973,76505.1532,219391.6,0,1981599.34,0.012987,2892.11
PiedrasAltas,Norte,51543192.38,2405081.13,2349913.952,186079.9604,370602.82,0,2617782.3,0.071268,13122.88
PiedrasAltasBIS,Norte,583522.6936,0,0,0,21366.87,0,335653.17,0,5836.17
PilaresdelNorte,Centro1,36226629.35,3476743.435,2469507.685,420952.3664,546471.91,164407.27,1499384.69,0.046296,31220.74
PinardelValle,Centro2,19642968.15,1234220.144,692912.0712,112725.1364,248479.65,0,1207272.06,0.071429,14770.45
PlazaCelaya,Occidente,22096602.61,1218070.485,1868400.124,102744.4132,250864.27,119733.94,893962.34,0.023516,10906.66
PlazaCentral,Centro1,13670937.58,902991.6208,1227584.45,121848.4356,36989.49,0,856439.84,0.080952,23955.83
PlazaCuauhtémoc,Occidente,13962824.42,1702509.504,1663620.588,0,74168.46,0,607126.4,0.060606,9453.3
PlazaMochis,Perla,39687254.14,3310788.161,1658922.614,194744.4316,280042.38,0,2157965.21,0.008772,7152.32
PlazaPacifico,Perla,41410309.29,2545344.733,1962472.6,55048.4204,213819.25,110046.94,2469841.77,0.001984,57578.27
PlazaTampico,Norte,16151866.82,1954144.76,643047.0136,85121.4568,324643.74,79172.02,790969.44,0.008929,14758.98
PlazaZapata,Centro1,22086383.68,2347297.991,1457261.6,134309.3404,278977.7,76667.56,1223574.19,0.074074,3724.1
PuentedeTlalne,Centro2,23238388.45,2685621.552,1600036.194,139363.0008,253531.5,51810.09,778774.88,0.07,15985.54
PuentedeTlalneII,Centro2,32998269.62,3411916.862,1728020.512,173863.8424,245220.16,69204.66,1238069.45,0.036458,7434.35
PuenteLincoln,Norte,23523549.27,700211.1524,1159411.172,42945.0884,189388.33,11350.98,1327168.7,0.031608,5586.18
PuertaCuauhtémoc,Centro1,10135926.8,212341.1528,356461.2676,0,62920.34,0,867235.19,0.007692,237.36
PuertoBravo,Centro1,58136909.58,4475171.648,3137294.602,211143.922,420777.88,17803.8,2123314.61,0.017845,6364.29
PuertoBravoBIS,Centro1,4459125.632,258179.2776,66216.1136,0,0,0,401983.71,0.125,66.24
ResidenciaA,Centro1,31732423.75,2353863.25,1512925.358,58580.3252,287133.49,0,1429419.17,0.027664,44471.17
ResidenciaB,Centro1,28592814.52,2684201.394,1471760.415,98990.4568,330974.75,51513.25,1550674.6,0.021212,27077.95
ReyesPazA,Centro2,24804391.45,2804804.737,1251916.81,28896.4256,381629.29,0,1183692.22,0.149428,4276.08
ReyesPazB,Centro2,27196394.73,3178499.484,2615954.151,195611.9612,448797.97,0,1341307.05,0.04127,17596.46
RiberasdelSur,Centro1,9295043.15,1005755.938,472641.2136,21106.936,59255.26,0,568397.6,0.1,636.61
RíoBlanco,Centro2,32570039.78,2288262.492,1849328.814,48971.6484,420294.49,17250.27,1605141.18,0.01125,13498.81
RíoBravo,Norte,32413903.82,1690513.967,1138721.983,15976.8676,82592.98,81285.53,1701163.49,0.031566,3043.48
RíoCoatzacoalcos,Sur,38799099.07,5004160.152,2469952.09,323198.1996,322206.42,0,3099008.94,0.112469,11445.58
RíoFresnillo,Occidente,10071176.82,490153.0776,443763.848,0,83113.34,52552.24,573378.49,0.015625,1448.33
RíoTuxtepec,Sur,39902061.07,1278574.662,1757971.115,119197.5384,404531.67,0,1742905.94,0.015212,12048.64
RivieraCancún,Sur,52496863.71,2148888.79,2566512.246,161659.6556,620514.21,0,2615407.85,0.116959,18897.79
RivieraEscondida,Sur,16673059.38,1374580.418,722571.5596,197549.8216,73527.28,0,514821.99,0,2732.63
RivieraPlaya,Sur,10430722.04,694277.2132,600178.6968,38945.45,348666.33,0,558798.06,0,891.48
RivieraVallarta,Occidente,21248277.15,772233.1912,857372.2184,0,279510.09,0,1144248.77,0.037879,3705.02
RivieraZihua,Occidente,28085063.93,1624798.764,840959.258,68222.288,213921.64,95631.9,1446931.98,0.005556,13325.11
RobledalA,Centro1,39822256.99,3939260.842,3026254.054,138908.4552,442640.38,0,1918061.82,0.035985,3139.41
RobledalB,Centro1,29027074.26,3070135.281,2536220.59,142165.1824,258512.91,25005.4,1595260.24,0.066667,2775.16
SabinasSierra,Norte,22686067.42,791141.0316,401789.9296,73621.7108,123567.61,0,1383613.82,0.277167,5239.28
SanLuisAlturas,Occidente,21450429.56,973124.5968,1366279.247,57176.0296,251776.02,28678.45,1096989.02,0.054545,1790.96
SanLuisNorte,Occidente,33702930,1839238.589,1715999.67,0,294342.64,52783.25,2010557.41,0.021053,5775.03
SanNicolásValle,Norte,32423981.87,2348951.978,1605813.552,105191.24,301483.14,79993.97,1698970.67,0.005747,84.13
SelvaTapachula,Sur,32485834.23,3178817.32,1437334.496,299474.7004,955201.99,0,1879535.69,0.052331,85795.02
SierraChihuahua,Occidente,36704951.39,2276262.832,2782476.325,78525.228,694290.44,35837.14,1956681.6,0.027083,14692.66
SierraChihuahuaBIS,Occidente,NA,NA,NA,NA,NA,NA,NA,NA,NA
SierraColima,Occidente,18785799.92,905572.948,634704.47,167671.594,207229.01,0,1513997.68,0.041101,13904.46
SierraCordobesa,Centro1,22064207.28,4202847.991,2296206.507,492011.8676,656086.36,8949.44,1581122.44,0.074122,5684.29
SierraDurango,Perla,22206347.3,1255985.814,765286.042,75448.2604,257976.84,176696.06,1201438.05,0.016667,3370.17
SierraHermosillo,Perla,41547391.67,3220752.568,2762053.45,55629.9872,497023.93,77860.04,1923678.47,0.042717,47793.06
SierraHermosilloBIS,Perla,4661305.92,110446.9064,63773.1236,0,40058.25,0,494786.71,0.022222,1739.6
SierraMérida,Sur,51201191.87,3798300.797,2368477.899,215883.2248,746131.33,33297.19,2819344.33,0.065636,17710.34
SierraMéridaBIS,Sur,3879242.888,372465.902,247816.7588,84131.8616,0,0,403846.72,0,1.87
SierraOaxaca,Sur,30942219.78,1811730.585,1331427.588,42473.9164,164516.99,104988.99,1949416.68,0.013158,6404.92
SierraSanta,Norte,6012514.462,25526.6792,70186.422,0,0,0,476127.96,0.08,864.92
SolyCampo,Centro2,12909063.2,1318113.412,1042109.9,39555.5976,214586.48,0,1007631.89,0.086075,995.15
TuxtlaCentral,Sur,35693648.5,2669449.012,1881752.862,151968.0324,403713.35,21619.22,1911607.35,0.038942,4355.94
TuxtlaNorte,Sur,14092202.07,1276492.304,1525455.114,37349.6216,125963.01,0,1389638.27,0.072917,0
ValleApodaca,Norte,42014699.4,2202043.301,1611833.029,39586.9864,319180.3,24936.05,2637272.71,0.026176,15608.56
ValleChalco,Centro2,21465834.08,2036916.799,1009896.473,36559.7484,167145.08,76664.78,817793.24,0.030736,3258.76
ValleComitán,Sur,25487543.92,4419110.469,2458087.695,237697.6876,432645.35,0,922124.74,0.131173,1538.88
ValledeGuadalupe,Norte,36707159.79,2360562.58,1423633.368,0,269158.23,60778.88,2544753.91,0.041071,13832.54
ValledeNavojoa,Perla,35216896.91,2900691.896,1215408.045,92635.77,323010.02,10722.08,1745890.45,0.027255,25381.37
ValledelRío,Perla,17345784.42,2213025.325,1070796.453,109637.9532,443108.04,28356.04,994831.58,0.086724,14903.29
ValleMexicali,Perla,32870343.93,1437589.746,1471186.248,86081.8852,199223.09,0,1649841.59,0.04902,42448.89
VallePiedad,Occidente,7993173.601,394233.3852,162904.448,12528.3952,21452.24,0,502003.63,0.022727,1069.97
ValleReal,Norte,24389719.48,1120966.451,621962.6676,35243.9612,247726.72,14068.88,1255699.4,0.006897,15960.71
ValleRica,Norte,22346209.96,2771783.985,1474858.61,161271.0288,478890.76,35458.08,1096174.16,0.034615,67401.45
ValleTepic,Occidente,29154455.33,848907.1832,743314.5884,44618.1788,164381.97,125963.08,1844211.31,0.010101,52275.85
ValleVerde,Centro2,16513681.47,1344389.229,1429133.914,112210.5564,195685.29,0,697957.57,0.151515,1782.76
ValleZamora,Occidente,28071774.35,2139169.747,1597816.768,51916.2232,168379.69,35330.73,1436055.23,0.034583,12520.09
VallesdeCuliacán,Perla,38607622.36,2281159.204,1754733.642,70197.4932,338698.26,47160.46,2018658.91,0.006273,10301.1
VallesdeOrizaba,Centro1,34370384.11,3134766.83,2408119.287,270974.4256,586076.03,17691.51,1898490.1,0.022583,7262.26
VallesdelNorte,Norte,31870767.63,1296851.732,1796508.239,237280.2628,224057.34,103929.19,2448428.67,0.03119,20113.16
VallesdelNorteBIS,Norte,NA,NA,NA,NA,NA,NA,NA,NA,NA
VallesToluca,Centro2,36059550.43,2982285.595,1674617.843,0,513617.93,112951.84,2024137.28,0.092929,83588.98
VictoriaAlta,Norte,28995634.42,1421033.219,1201087.064,83095.3532,332507.11,32900.98,1115078.81,0.030556,11024.14
VillaCentral,Sur,35482141.51,7518785.256,2898248.59,815479.7504,1250172.71,63630.84,1689085.84,0.102963,25507.99
VillaNorte,Sur,17248919.02,1971008.018,1605994.936,110667.9668,321562.66,0,1467106.88,0.048529,5746.13
ZapopanPlaza,Occidente,15329385.2,742209.7556,580657.8116,0,86047.3,108884.58,620395.01,0,3728.5
